JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29372557_210	2025-08-22T19:59:41	puhti	COMPLETED	41	0:0	mariaosm	mariaosm		1	1		10485760K	5743K	01:00:00	41	
29372557_190	2025-08-22T19:59:41	puhti	COMPLETED	19	0:0	mariaosm	mariaosm		1	1		10485760K	3276K	01:00:00	19	
29372557_177	2025-08-22T19:59:41	puhti	COMPLETED	3279	0:0	mariaosm	mariaosm		1	1	54:22.844	10485760K	5724K	01:00:00	3279	
29372566_355	2025-08-22T20:00:35	puhti	COMPLETED	260	0:0	mariaosm	mariaosm		1	1	04:09.432	10485760K	6155K	01:00:00	260	
29372557_211	2025-08-22T19:59:41	puhti	COMPLETED	86	0:0	mariaosm	mariaosm		1	1	01:12.645	10485760K	5790K	01:00:00	86	
29372557_191	2025-08-22T19:59:41	puhti	COMPLETED	38	0:0	mariaosm	mariaosm		1	1		10485760K	5748K	01:00:00	38	
29372557_178	2025-08-22T19:59:41	puhti	COMPLETED	157	0:0	mariaosm	mariaosm		1	1	02:34.411	10485760K	5910K	01:00:00	157	
29372566_356	2025-08-22T20:00:35	puhti	COMPLETED	39	0:0	mariaosm	mariaosm		1	1		10485760K	5968K	01:00:00	39	
29372557_212	2025-08-22T19:59:41	puhti	COMPLETED	78	0:0	mariaosm	mariaosm		1	1	01:04.372	10485760K	5772K	01:00:00	78	
29372557_192	2025-08-22T19:59:41	puhti	COMPLETED	939	0:0	mariaosm	mariaosm		1	1	15:28.620	10485760K	5917K	01:00:00	939	
29372557_179	2025-08-22T19:59:41	puhti	COMPLETED	27	0:0	mariaosm	mariaosm		1	1		10485760K	5883K	01:00:00	27	
29372566_357	2025-08-22T20:00:35	puhti	COMPLETED	70	0:0	mariaosm	mariaosm		1	1	01:00.119	10485760K	6061K	01:00:00	70	
29372557_213	2025-08-22T19:59:41	puhti	COMPLETED	61	0:0	mariaosm	mariaosm		1	1		10485760K	5767K	01:00:00	61	
29372557_193	2025-08-22T19:59:41	puhti	COMPLETED	1046	0:0	mariaosm	mariaosm		1	1	17:15.278	10485760K	5944K	01:00:00	1046	
29372566_358	2025-08-22T20:00:35	puhti	COMPLETED	42	0:0	mariaosm	mariaosm		1	1		10485760K	5892K	01:00:00	42	
29372557_214	2025-08-22T19:59:41	puhti	COMPLETED	81	0:0	mariaosm	mariaosm		1	1	01:04.891	10485760K	5785K	01:00:00	81	
29372557_194	2025-08-22T19:59:41	puhti	COMPLETED	79	0:0	mariaosm	mariaosm		1	1	01:07.425	10485760K	5708K	01:00:00	79	
29372566_359	2025-08-22T20:00:35	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	5930K	01:00:00	3611	01:00:10
29372557_215	2025-08-22T19:59:41	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	762081K	01:00:00	3611	01:00:10
29372557_195	2025-08-22T19:59:41	puhti	COMPLETED	481	0:0	mariaosm	mariaosm		1	1	07:48.432	10485760K	5728K	01:00:00	481	
29372555_20	2025-08-22T19:58:42	puhti	COMPLETED	85	0:0	mariaosm	mariaosm		1	1	01:08.113	10485760K	6024K	01:00:00	85	
29372557_216	2025-08-22T19:59:41	puhti	COMPLETED	2501	0:0	mariaosm	mariaosm		1	1	41:29.347	10485760K	5818K	01:00:00	2501	
29372557_196	2025-08-22T19:59:41	puhti	COMPLETED	245	0:0	mariaosm	mariaosm		1	1	03:53.410	10485760K	5744K	01:00:00	245	
29372555_21	2025-08-22T19:58:42	puhti	COMPLETED	24	0:0	mariaosm	mariaosm		1	1		10485760K	3210K	01:00:00	24	
29372557_230	2025-08-22T19:59:41	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	5846K	01:00:00	3611	01:00:08
29372557_217	2025-08-22T19:59:41	puhti	COMPLETED	383	0:0	mariaosm	mariaosm		1	1	06:07.572	10485760K	5916K	01:00:00	383	
29372557_197	2025-08-22T19:59:41	puhti	COMPLETED	797	0:0	mariaosm	mariaosm		1	1	13:12.469	10485760K	6262K	01:00:00	797	
29372555_22	2025-08-22T19:58:42	puhti	COMPLETED	25	0:0	mariaosm	mariaosm		1	1		10485760K	3276K	01:00:00	25	
29372557_231	2025-08-22T19:59:41	puhti	CANCELLED	3608	0:0	mariaosm	mariaosm		1	1		10485760K	6092K	01:00:00	3611	01:00:10
29372557_218	2025-08-22T19:59:41	puhti	COMPLETED	277	0:0	mariaosm	mariaosm		1	1	04:32.727	10485760K	5704K	01:00:00	277	
29372557_198	2025-08-22T19:59:41	puhti	CANCELLED	3630	0:0	mariaosm	mariaosm		1	1		10485760K	5765K	01:00:00	3634	01:00:33
29372555_23	2025-08-22T19:58:42	puhti	COMPLETED	38	0:0	mariaosm	mariaosm		1	1		10485760K	5785K	01:00:00	39	
29372557_232	2025-08-22T19:59:41	puhti	COMPLETED	23	0:0	mariaosm	mariaosm		1	1		10485760K	3272K	01:00:00	23	
